exchange,symbol,company
XNSE,VENUSREM,Venus Remedies Ltd. (VENUSREM)
XNSE,SGJHL_UADJ,Shree Ganesh Jewellery House (I) Ltd. (SGJHL) Unadjusted Stock Prices
XNSE,COALINDIA_UADJ,Coal India Limited (COALINDIA) Unadjusted Stock Prices
XNSE,MFVF1RD,Sundaram Asset Management Company Limited (MFVF1RD)
XNSE,CELEBRITY,Celebrity Fashions Ltd. (CELEBRITY)
XNSE,BANARISUG_UADJ,Bannari Amman Sugars Ltd. (BANARISUG) Unadjusted Stock Prices
XNSE,RJL,Renaissance Jewellery Ltd. (RJL)
XNSE,DSKULKARNI_UADJ,D.S. Kulkarni Developers Ltd. (DSKULKARNI) Unadjusted Stock Prices
XNSE,SPCENET,Spacenet Enterprises India Ltd. (SPCENET)
XNSE,USHAMART_UADJ,Usha Martin Ltd. (USHAMART) Unadjusted Stock Prices
XNSE,SIL_UADJ,Standard Industries Ltd. (SIL) Unadjusted Stock Prices
XNSE,ITGIRRESORTS,GIR Natureview Resorts Ltd. (ITGIRRESORTS)
XNSE,HINDPETRO,Hindustan Petroleum Corporation Ltd. (HINDPETRO)
XNSE,CCL_UADJ,CCL Products (India) Ltd. (CCL) Unadjusted Stock Prices
XNSE,WENDT,Wendt (India) Ltd. (WENDT)
XNSE,THOMASCOOK_UADJ,Thomas Cook (India) Ltd. (THOMASCOOK) Unadjusted Stock Prices
XNSE,KARMAENG,Karma Energy Ltd. (KARMAENG)
XNSE,NECCLTD_UADJ,North Eastern Carrying Corporation Ltd (NECCLTD) Unadjusted Stock Prices
XNSE,HINDUJAFO,Hinduja Foundries Ltd. (HINDUJAFO)
XNSE,HDFC_UADJ,Housing Development Finance Corporation Ltd. (HDFC) Unadjusted Stock Prices
XNSE,SPIC,Southern Petrochemicals Industries Corporation Ltd (SPIC)
XNSE,RPGLIFE_UADJ,RPG Life Sciences Ltd (RPGLIFE) Unadjusted Stock Prices
XNSE,MPSLTD,MPS Ltd (MPSLTD)
XNSE,TGBHOTELS,TGB Banquets & Hotels Ltd (TGBHOTELS)
XNSE,PETRONENGG_UADJ,Petron Engineering Construction Ltd. (PETRONENGG) Unadjusted Stock Prices
XNSE,PAEL_UADJ,PAE Ltd. (PAEL) Unadjusted Stock Prices
XNSE,SHAHALLOYS_UADJ,Shah Alloys Ltd. (SHAHALLOYS) Unadjusted Stock Prices
XNSE,NEXTMEDIA,Next Mediaworks Ltd (NEXTMEDIA)
XNSE,ESSARSHPNG,Essar Shipping Ltd (ESSARSHPNG)
XNSE,PUNJABCHEM_UADJ,Punjab Chemicals & Crop Protection Ltd. (PUNJABCHEM) Unadjusted Stock Prices
XNSE,JUSTDIAL_UADJ,Just Dial Ltd (JUSTDIAL) Unadjusted Stock Prices
XNSE,BLUECHIP_UADJ,Blue Chip India Ltd. (BLUECHIP) Unadjusted Stock Prices
XNSE,LINDEINDIA_UADJ,Linde India Ltd (LINDEINDIA) Unadjusted Stock Prices
XNSE,KSCL_UADJ,Kaveri Seed Co. Ltd. (KSCL) Unadjusted Stock Prices
XNSE,ISFT_UADJ,Intrasoft Technologies Limited (ISFT) Unadjusted Stock Prices
XNSE,JSL_UADJ,Jindal Stainless Ltd (JSL) Unadjusted Stock Prices
XNSE,IOB,Indian Overseas Bank (IOB)
XNSE,HIMATSEIDE,Himatsingka Seide Ltd. (HIMATSEIDE)
XNSE,GANDHITUBE_UADJ,Gandhi Special Tubes Ltd. (GANDHITUBE) Unadjusted Stock Prices
XNSE,GREENPLY,Greenply Industries Ltd. (GREENPLY)
XNSE,GHCL,GHCL Ltd. (GHCL)
XNSE,VISUINTL,Visu International Ltd. (VISUINTL)
XNSE,MANINFRA,Man Infraconstruction Ltd. (MANINFRA)
XNSE,UTINIFTETF,UTI Asset Management Company Ltd (UTINIFTETF)
XNSE,SMAIRAN,Airan Ltd (SMAIRAN)
XNSE,TTKHLTCARE,TTK Healthcare Ltd. (TTKHLTCARE)
XNSE,STARPAPER,Star Paper Mills Ltd. (STARPAPER)
XNSE,BHARTISHIP,Bharati Defence & Infrastructure Ltd (BHARTISHIP)
XNSE,MFSC3RG,Sundaram Asset Management Company Limited (MFSC3RG)
XNSE,HINDSYNTEX_UADJ,Hind Syntex Ltd. (HINDSYNTEX) Unadjusted Stock Prices
XNSE,COUNCODOS,Country Condo`s Ltd (COUNCODOS)
XNSE,TRIL_UADJ,Transformers & Rectifiers (India) Ltd. (TRIL) Unadjusted Stock Prices
XNSE,DONEAR_UADJ,Donear Industries Ltd. (DONEAR) Unadjusted Stock Prices
XNSE,NEPCMICON,NEPC India Ltd. (NEPCMICON)
XNSE,IDBI,IDBI Bank Ltd (IDBI)
XNSE,TORNTPOWER_UADJ,Torrent Power Ltd. (TORNTPOWER) Unadjusted Stock Prices
XNSE,UPL_UADJ,UPL Ltd (UPL) Unadjusted Stock Prices
XNSE,HINDCOPPER,Hindustan Copper Ltd. (HINDCOPPER)
XNSE,HANUNG_UADJ,Hanung Toys & Textiles Ltd. (HANUNG) Unadjusted Stock Prices
XNSE,NITINSPIN,Nitin Spinners Ltd. (NITINSPIN)
XNSE,ZUARIGLOB_UADJ,Zuari Global Ltd (ZUARIGLOB) Unadjusted Stock Prices
XNSE,SHRENUJ_UADJ,Shrenuj & Co. Ltd. (SHRENUJ) Unadjusted Stock Prices
XNSE,SETFGOLD,SBI Funds Management Private Limited (SETFGOLD)
XNSE,RAMANEWS,Shree Rama Newsprint Ltd (RAMANEWS)
XNSE,PNEUMATIC,Pneumatic Holdings Ltd. (PNEUMATIC)
XNSE,KIRLOSBROS,Kirloskar Brothers Ltd. (KIRLOSBROS)
XNSE,IGPL,I G Petrochemicals Ltd. (IGPL)
XNSE,DAMODARIND_UADJ,Damodar Industries Ltd (DAMODARIND) Unadjusted Stock Prices
XNSE,CELESTIAL_UADJ,Celestial Biolabs Ltd (CELESTIAL) Unadjusted Stock Prices
XNSE,ALKALI,Alkali Metals Ltd (ALKALI)
XNSE,CGPOWER_UADJ,CG Power & Industrial Solutions Ltd. (CGPOWER) Unadjusted Stock Prices
